"lhs","rhs","support","confidence","lift","count","kulc","ir","idade","tabagismo","diabetes","nivel_risco","sedentario","desfecho"
"nivel_risco=alto_risco","grave",0.211538461538462,1,1.85714285714286,110,0.696428571428571,0.607142857142857,NA,NA,NA,"alto_risco",NA,NA
"diabetes=sim","grave",0.269230769230769,0.903225806451613,1.67741935483871,140,0.701612903225806,0.423728813559322,NA,NA,"sim",NA,NA,NA
"sedentario=nao","grave",0.269230769230769,0.848484848484849,1.57575757575758,140,0.674242424242424,0.377049180327869,NA,NA,NA,NA,"nao",NA
"tabagismo=sim","grave",0.288461538461538,0.857142857142857,1.59183673469388,150,0.696428571428571,0.344262295081967,NA,"sim",NA,NA,NA,NA
"nivel_risco=leve_stress","grave",0.326923076923077,0.80952380952381,1.50340136054422,170,0.708333333333333,0.21875,NA,NA,NA,"leve_stress",NA,NA
"idade=adulto,diabetes=sim","grave",0.0576923076923077,1,1.85714285714286,30,0.553571428571429,0.892857142857143,"adulto",NA,"sim",NA,NA,NA
"idade=idoso,diabetes=sim","grave",0.153846153846154,1,1.85714285714286,80,0.642857142857143,0.714285714285714,"idoso",NA,"sim",NA,NA,NA
"idade=idoso,tabagismo=sim","grave",0.153846153846154,0.888888888888889,1.65079365079365,80,0.587301587301587,0.655172413793103,"idoso","sim",NA,NA,NA,NA
"idade=idoso,sedentario=sim","grave",0.153846153846154,0.615384615384615,1.14285714285714,80,0.450549450549451,0.454545454545455,"idoso",NA,NA,NA,"sim",NA
"tabagismo=sim,diabetes=sim","grave",0.211538461538462,1,1.85714285714286,110,0.696428571428571,0.607142857142857,NA,"sim","sim",NA,NA,NA
"idade=jovem,sedentario=nao","grave",0.230769230769231,1,1.85714285714286,120,0.714285714285714,0.571428571428571,"jovem",NA,NA,NA,"nao",NA
"tabagismo=nao,sedentario=nao","grave",0.192307692307692,1,1.85714285714286,100,0.678571428571429,0.642857142857143,NA,"nao",NA,NA,"nao",NA
"idade=jovem,tabagismo=sim","grave",0.0769230769230769,1,1.85714285714286,40,0.571428571428571,0.857142857142857,"jovem","sim",NA,NA,NA,NA
"tabagismo=sim,sedentario=sim","grave",0.211538461538462,1,1.85714285714286,110,0.696428571428571,0.607142857142857,NA,"sim",NA,NA,"sim",NA
"idade=jovem,nivel_risco=leve_stress","grave",0.288461538461538,0.909090909090909,1.68831168831169,150,0.722402597402597,0.389830508474576,"jovem",NA,NA,"leve_stress",NA,NA
"tabagismo=nao,nivel_risco=leve_stress","grave",0.25,0.896551724137931,1.66502463054187,130,0.680418719211823,0.457627118644068,NA,"nao",NA,"leve_stress",NA,NA
"diabetes=nao,nivel_risco=leve_stress","grave",0.269230769230769,0.848484848484849,1.57575757575758,140,0.674242424242424,0.377049180327869,NA,NA,"nao","leve_stress",NA,NA
